price,location,features,expensas,disposition,seniority,description,url
USD 76.000,"Floresta, Capital Federal","['44 m² tot.', '1 amb.', '1 baño']",,Frente,,"Departamento de 1 ambiente a estrenar - Pronta entregaEdificio sobre importante avenida, cercano a Av. Rivadavia, todos los medios de transporte y a una importante zona comercial. La unidad: monoambie",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-pronto-a-entregar-8-a-56058335.html?n_src=Listado&n_pg=1&n_pos=1
Consultar precio,"Balvanera, Capital Federal","['80 m² tot.', '3 amb.', '2 dorm.', '2 baños']",,,,"- Unidad de tres ambientes con dos baños completos (uno en suite) y cocina separada- Apenas ingresamos, nos encontramos con el comedor, living y balcón, el cual tiene un gran ventanal y permite el ing",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-unidad-a-estrenar-3-amb-human-abasto-56655625.html?n_src=Listado&n_pills=Laundry&n_pg=1&n_pos=2
USD 300.000,"Recoleta, Capital Federal","['130 m² tot.', '4 amb.', '3 dorm.', '3 baños', '1 coch.']",$ 520.000 Expensas,Frente,,"Paraná y Arenales – A metros de Plaza Vicente LópezExcelente departamento de 4 ambientes al frente con dependencia y cochera fija. Cuenta con palier privado, amplio living comedor con salida a balcón ",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-parana-y-arenales-a-m-de-plaza-vicente-lopez-4-57494247.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=1&n_pos=3
USD 150.000,"Villa Pueyrredón, Capital Federal","['2 un.', '3 amb.', '58 a 68 m² tot.', 'Parrilla', 'Solarium', 'Balcón', 'Terraza']",,Frente,,"Excelentes semipisos de 3 y 4 ambientes con cocheras cubiertas optativas. El emprendimiento se encuentra en el barrio de Villa Pueyrredon, con excelentes accesos a Av. San Martin, Gral. Paz, Metrobus ",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-llavallol-4528-57183516.html?n_src=Listado&n_pg=1&n_pos=4
USD 135.000,"Palermo, Capital Federal","['54 m² tot.', '2 amb.', '1 dorm.', '1 baño']",,Frente,,"_ Departamento de un dormitorio en venta ubicado sobre María Catalina Marchi (Palermo, Ciudad Autónoma de Buenos Aires). Desarrollado en primer piso por escalera, con disposición frente y orientación ",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-1-bano-palermo-56871026.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=5
USD 76.000,"Centro / Microcentro, Capital Federal","['57 m² tot.', '2 amb.', '1 dorm.', '1 baño']",,Frente,,"Retasado!! Edificio Clásico de Categoría en zona Plaza San Martín, frente al Shopping ""Galerías Pacífico"" y a metros de Florida. Excelentes Vistas. Dos unidades al frente anexadas de 56. 8 m2 cada una",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-centro-capital-federal-57851675.html?n_src=Listado&n_pg=1&n_pos=6
USD 570.000,"Palermo Chico, Palermo","['105 m² tot.', '3 amb.', '2 dorm.', '4 baños', '1 coch.']",$ 590.000 Expensas,Frente,,"Ubicado en el prestigioso barrio de Palermo Chico, este magnífico semipiso a estrenar representa lo mejor en términos de lujo y diseño, concebido por el renombrado Estudio Brukman Mansilla. Este exclu",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-palermo-57935285.html?n_src=Listado&n_pills=SUM&n_pg=1&n_pos=7
USD 915.494,"Belgrano, Capital Federal","['9 un.', '4 amb.', '175 a 350 m² tot.', 'Gimnasio', 'Parrilla', 'Pileta', 'Solarium', 'Balcón']",,,,"Serene – Redefine el lujo en Bajo BelgranoEn la esquina de Ramsay y Sucre, en el corazón del Bajo Belgrano, surge Serene, un desarrollo de alto nivel pensado para quienes valoran amplitud, diseño y ca",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-serene-bajo-belgrano-57578789.html?n_src=Listado&n_pg=1&n_pos=8
USD 220.000,"Recoleta, Capital Federal","['95 m² tot.', '4 amb.', '2 dorm.', '2 baños']",$ 180.000 Expensas,,,"Departamento de 4 ambientes en Av. Callao- Cuenta con 2 dormitorios y un escritorio. Espacios ideales para descansar y trabajar, adaptándose a tus necesidades. - Piso alto con vista hermosa: Disfruta ",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-recoleta-4-ambientes-luminoso-piso-57860141.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=1&n_pos=9
USD 420.000,"Belgrano R, Belgrano","['177 m² tot.', '2 amb.', '1 dorm.', '2 baños', '1 coch.']",$ 730.760 Expensas,Frente,,Espectacular departamento. Super luminoso. Terraza propia con jacuzzi Y parrilla. Vista abierta. Full amenities! Con cochera Espectacular living comedor con cocina integrada. Dormitorio en suite con v,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-espectacular-departamento!-super-luminoso!-54892726.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=1&n_pos=10
USD 133.000,"Palermo Nuevo, Palermo","['53 m² tot.', '3 amb.', '2 dorm.', '1 baño']",$ 165.000 Expensas,Frente,,"Excelente oportunidad en Palermo Nuevo. Departamento de 3 ambientes a la calle, con balcón aterrazado que fue anexado a la parte cubierta, logrando un total de 54 m² cubiertos (41 m² cubiertos + 12 m²",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-3-ambientes-balcon-aterrazado-con-cerramiento-57892288.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=11
USD 75.000,"Villa Luro, Capital Federal","['19 un.', '1 a 3 amb.', '31 a 82 m² tot.', 'Parrilla', 'Solarium', 'Balcón', 'Balcón']",,Frente,,"¡Gran emprendimiento frente a Plaza Los Andes! El proyecto corresponde a un edificio de 11 pisos emplazado en el barrio de Villa Luro. Cuenta con departamentos de 1, 2, 3 y 4 ambientes, todos con balc",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-puerta-del-sol-55973786.html?n_src=Listado&n_pg=1&n_pos=12
USD 299.000,"Belgrano, Capital Federal","['53 m² tot.', '2 amb.', '1 dorm.', '1 baño', '1 coch.']",$ 313.977 Expensas,,,Departamento en venta | belgrano - Capital Federal | 2 ambientes. Departamento a estrenar en Edificio Caruso de gran categoría. Living comedor a balcón aterrazado - Dormitorio con placard - Baño compl,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-oppel-departamento-en-venta-belgrano-capital-47915363.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=13
USD 990.000,"Palermo, Capital Federal","['175 m² tot.', '3 amb.', '2 dorm.', '2 baños', '1 coch.']",$ 949.400 Expensas,,,"Nuevo valor retasado! impecable penthouse en torre mirabilia! , único en la Ciudad por su ubicación y altura. Duplex con imponentes vistas desde toda la planta. En pisos 45/46, con terraza propia. Exc",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-unico-penthouse-en-torre-mirabilia-palermo-57477272.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=14
USD 143.000,"Almagro, Capital Federal","['67 m² tot.', '3 amb.', '2 dorm.', '1 baño']",$ 192.550 Expensas,Frente,10 años,Impecable departamento. Es muy luminoso y está ubicado al frente en edificio en esquina con su orientación al norte. Cuenta con un living y comedor en L (originalmente 2º dormitorio) con salida a un b,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-al-frente-amplio-57613193.html?n_src=Listado&n_pg=1&n_pos=15
USD 151.900,"Belgrano, Capital Federal","['24 un.', '2 a 5 amb.', '60 a 209 m² tot.', 'Gimnasio', 'Pileta', 'Balcón', 'Terraza']",,,20 años,"Proyecto con planos aprobados-Proyecto Ubicado en pleno corazón de Belgrano, sobre la Avenida Cramer, a metros de Av. Monroe, con rápida conexión hacia Av. Cabildo y Av. Congreso. Rodeado de comercios",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-sky-cramer-2725-57863539.html?n_src=Listado&n_pg=1&n_pos=16
USD 72.500,"Cid Campeador, Caballito","['38 m² tot.', '1 amb.', '1 dorm.', '1 baño']",$ 80.000 Expensas,Frente,,"Monoambiente al frente en excelente ubicación en Caballito. Muy luminoso, con orientación norte y gran ventanal a la calle. Cocina independiente con buena ventilación, baño completo y ambiente amplio.",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-2-ambientes-en-venta-en-caballito-57304636.html?n_src=Listado&n_pg=1&n_pos=17
USD 139.000,"San Nicolás, Capital Federal","['76 m² tot.', '4 amb.', '3 dorm.']",$ 130.000 Expensas,Frente,,"Piso de 4 ambientes, con 3 dormitorios, en cuarto piso al frente en Paraná al 600, barrio San Nicolás. Espacios amplios, distribución funcional, balcón al frente, cocina independiente, living comedor ",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-piso-de-estilo-en-parana-al-600-57823851.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=18
USD 1.750.000,"Palermo Chico, Palermo","['343 m² tot.', '7 amb.', '4 dorm.', '4 baños', '1 coch.']",$ 1.625.000 Expensas,,,"Piso en Torre Santours I, proyectada por el Arq. Mario Roberto Álvarez. Amplio hall de entrada. Doble living con salida a balcón de 35 m² con vista panorámica a la avenida, bosques y ciudad. Comedor i",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-av-del-libertador-y-san-martin-de-tours-57809002.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=1&n_pos=19
USD 77.000,"San Cristobal, Capital Federal","['24 un.', '1 a 3 amb.', '32 a 98 m² tot.', 'Gimnasio', 'Parrilla', 'Pileta', 'Solarium', 'Balcón', 'Terraza']",,Frente,,"14 pisos con full amenities, unidades de 1 a 3 ambientes, entrega Abril 2026. Consultá financiación a 36 meses. Ubicado en una zona estratégica al sur de la Capital Federal y en pleno desarrollo, cone",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-bah-av-independencia-2553-56948208.html?n_src=Listado&n_pg=1&n_pos=20
USD 155.000,"Villa Lugano, Capital Federal","['96 m² tot.', '3 amb.', '2 dorm.', '1 baño']",,,,"Venta departamento 3 ambientes en dúplex con 2 balcones aterrazados en Villa Lugano, cabaimpecable departamento en dúplex, ubicado a metros de acceso Autopista Dellepiane. 3 ambientes, cocina integrad",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-en-duplex-con-2-57734697.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=1&n_pos=21
USD 256.300,"Villa Crespo, Capital Federal","['104 m² tot.', '4 amb.', '3 dorm.', '2 baños', '1 coch.']",,Frente,,"Metropolitan porteño ii. Torre de categoría con unidades de 2, 3 Y 4 ambientes Y amenities. Entrega noviembre 2023. -Ubicado en el barrio de Villa Crespo, a pasos de Av. Corrientes y Juan B. Justo. Co",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-4-ambientes-en-torre-con-amenities-villa-crespo-55053157.html?n_src=Listado&n_pills=SUM&n_pg=1&n_pos=22
USD 695.000,"Belgrano, Capital Federal","['140 m² tot.', '4 amb.', '2 dorm.', '4 baños', '1 coch.']",$ 761.463 Expensas,,,Departamento en venta | belgrano - Capital Federal | 4 ambientes. Departamento de 2 dormitorios con dependencia en excelente estado. Gran luminosidad y vistas abiertas. En edificio moderno con infraes,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-oppel-departamento-en-venta-belgrano-capital-57541851.html?n_src=Listado&n_pills=Pileta&n_pg=1&n_pos=23
